gene,entrez_id,mut_n,amp_n,gain_n,shallow_del_n,deep_del_n,any_cna_n,any_alter_n,N,mut_freq,amp_freq,deep_del_freq,any_cna_freq,any_alter_freq
BRCA1,672,27,12,198,359,5,574,582,1052,0.025665399239543727,0.011406844106463879,0.004752851711026616,0.5456273764258555,0.5532319391634981
BRCA2,675,28,8,108,425,14,555,564,1052,0.026615969581749048,0.0076045627376425855,0.013307984790874524,0.5275665399239544,0.5361216730038023
PALB2,79728,7,36,499,90,0,625,628,1052,0.006653992395437262,0.034220532319391636,0.0,0.594106463878327,0.596958174904943
RAD51,5888,2,4,64,381,7,456,457,1052,0.0019011406844106464,0.0038022813688212928,0.006653992395437262,0.43346007604562736,0.4344106463878327
RAD51C,5889,6,58,319,173,2,552,554,1052,0.005703422053231939,0.055133079847908745,0.0019011406844106464,0.5247148288973384,0.526615969581749
ATM,472,25,4,94,503,12,613,621,1052,0.02376425855513308,0.0038022813688212928,0.011406844106463879,0.5826996197718631,0.5903041825095057
ATR,545,14,5,264,92,0,361,369,1052,0.013307984790874524,0.004752851711026616,0.0,0.3431558935361217,0.35076045627376423
CHEK1,1111,4,1,91,508,10,610,611,1052,0.0038022813688212928,0.0009505703422053232,0.009505703422053232,0.5798479087452472,0.5807984790874525
CHEK2,11200,9,5,115,461,1,582,583,1052,0.008555133079847909,0.004752851711026616,0.0009505703422053232,0.5532319391634981,0.5541825095057035
MLH1,4292,8,1,128,255,4,388,391,1052,0.0076045627376425855,0.0009505703422053232,0.0038022813688212928,0.3688212927756654,0.37167300380228135
MSH2,4436,8,7,169,151,0,327,330,1052,0.0076045627376425855,0.006653992395437262,0.0,0.3108365019011407,0.31368821292775667
MSH6,2956,8,5,172,150,0,327,331,1052,0.0076045627376425855,0.004752851711026616,0.0,0.3108365019011407,0.314638783269962
PMS2,5395,8,6,335,119,1,461,466,1052,0.0076045627376425855,0.005703422053231939,0.0009505703422053232,0.438212927756654,0.4429657794676806
ERCC1,2067,4,12,221,197,1,431,432,1052,0.0038022813688212928,0.011406844106463879,0.0009505703422053232,0.4096958174904943,0.41064638783269963
ERCC2,2068,2,12,221,197,1,431,433,1052,0.0019011406844106464,0.011406844106463879,0.0009505703422053232,0.4096958174904943,0.41159695817490494
XPA,7507,1,1,129,306,1,437,438,1052,0.0009505703422053232,0.0009505703422053232,0.0009505703422053232,0.41539923954372626,0.41634980988593157
PARP1,142,11,92,686,25,0,803,805,1052,0.010456273764258554,0.08745247148288973,0.0,0.7633079847908745,0.7652091254752852
FANCA,2175,10,4,102,641,29,776,778,1052,0.009505703422053232,0.0038022813688212928,0.027566539923954372,0.7376425855513308,0.7395437262357415
PRKDC,5591,27,54,454,87,1,596,603,1052,0.025665399239543727,0.051330798479087454,0.0009505703422053232,0.5665399239543726,0.5731939163498099
TP53BP1,7158,15,1,67,380,3,451,462,1052,0.014258555133079848,0.0009505703422053232,0.0028517110266159697,0.42870722433460073,0.4391634980988593
