rank,tumour_acronym,mean_any_alter_freq,mean_mut_freq,mean_any_cna_freq,N,n_genes
1,UCS,0.7125,0.009821428571428571,0.70625,56,20
2,OV,0.6700587084148728,0.009197651663405087,0.6668297455968688,511,20
3,LUSC,0.6279958677685951,0.02427685950413223,0.6193181818181819,484,20
4,TGCT,0.573489932885906,0.0023489932885906043,0.5728187919463087,149,20
5,ESCA,0.5648351648351648,0.01620879120879121,0.5593406593406594,182,20
6,LUAD,0.536399217221135,0.023776908023483364,0.5266144814090019,511,20
7,BLCA,0.5195331695331695,0.04373464373464374,0.5001228501228502,407,20
8,BRCA,0.49610266159695815,0.01064638783269962,0.4922053231939164,1052,20
9,SKCM,0.4827823691460055,0.054132231404958674,0.4533057851239669,363,20
10,SARC,0.4826086956521739,0.007114624505928853,0.4790513833992095,253,20
11,ACC,0.4730337078651686,0.01348314606741573,0.46629213483146065,89,20
12,KICH,0.46153846153846156,0.003076923076923077,0.4607692307692308,65,20
13,HNSC,0.4352652259332023,0.016208251473477406,0.4263261296660118,509,20
14,CESC,0.4181184668989547,0.021602787456445994,0.4050522648083624,287,20
15,STAD,0.41440092165898623,0.03444700460829493,0.3903225806451613,434,20
16,COADREAD,0.3892857142857143,0.037124060150375934,0.3590225563909774,532,20
17,CHOL,0.3875,0.00972222222222222,0.38472222222222224,36,20
18,LIHC,0.3732686980609418,0.012742382271468145,0.3655124653739612,361,20
19,UCEC,0.3379647749510763,0.08043052837573386,0.2634050880626223,511,20
20,MESO,0.32965116279069767,0.005813953488372093,0.325,86,20
21,GBM,0.2901315789473684,0.009078947368421051,0.2830263157894737,380,20
22,KIRP,0.288768115942029,0.01105072463768116,0.28043478260869564,276,20
23,PAAD,0.27275280898876403,0.00898876404494382,0.2657303370786517,178,20
24,DLBC,0.2658536585365854,0.00975609756097561,0.2621951219512195,41,20
25,KIRC,0.22762500000000002,0.007125000000000001,0.221875,400,20
26,PCPG,0.19440993788819877,0.0009316770186335404,0.1937888198757764,161,20
27,UVM,0.19,0.00125,0.18875000000000003,80,20
28,LGG,0.1761252446183953,0.004305283757338551,0.17318982387475537,511,20
29,PRAD,0.16748466257668712,0.006850715746421268,0.16247443762781186,489,20
30,THYM,0.10447154471544715,0.0036585365853658543,0.10162601626016261,123,20
31,LAML,0.04424083769633508,0.002617801047120419,0.04162303664921466,191,20
32,THCA,0.039527720739219716,0.0024640657084188913,0.03757700205338809,487,20
